number,governorate,district,sub_district,community,latitude_y,longitude_x,temp_code,site_name,type_of_location,shelter_details,newly_established_yn,date_of_input,planned_capacity_hh,families,individuals,girls_children_under_18_18,boys_children_under_18_18,women_female_adults,men_male_adults,full_name,phone,organization_name,comments,cccm,shelter,nfi,wash,fsl,education,cash,protection,nutrition,erl,health,severity_scale_wash_fsl_health_shelter,cccm_2,shelter_2,nfi_2,wash_2,fsl_2,education_2,cash_2,protection_2,nutrition_2,erl_2,health_2,cccm_3,cccm_contact,shelter_3,shelter_contact,nfi_3,nfi_contact,wash_3,wash_contact,fsl_3,fsl_contact,education_3,fsl_contact_2,cash_3,education_contact,protection_3,protection_contact,nutrition_3,nutrition_contact,erl_3,erl_contact,health_3,health_contact,status,admin4pcode,admin1pcode,site_name_ar,admin3pcode,geometry
11,Idleb,Harim,Salqin,Salqin,36.144321,36.459209,CP001146,Aqadimi  ,Planned Camp  ,Tents,Yes ,4595328-03-13,350,350,2100,360,350,550,840,Rami Al-Shami,37066143849,Relief office in Salqin,The Academic RC has been merged with the Academic Camp CP001146,NA,NA,1,NA,1,1,1,1,1,NA,1,0.5,NA,Human Appeal,NA,IYD,NA,NA,NA,NA,NA,Iyd,NA,حسن ديبان,994406540106,أحمد قطر,905376135128,NA,NA,أحمد الرج,963988406979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,أحمد الرج,963988406979,NA,NA,open,C4140,SY07, اكاديمي,SY070302,"c(36.459209, 36.144321)"
12,Idleb,Harim,Salqin,Salqin,36.1423781,36.45218,TEMP006,Dar al oahi,Collective Center  ,Tents,Yes ,4595328-03-13,130,130,470,130,125,115,100,Rami Al-Shami,37066143849,Relief office in Salqin,تم فتح المركز بعد اغلاقه من قبل الإدارة بتاريخ 26/2/2023,NA,0,100,0,1,1,1,1,1,1,1,0.5,0,بنفسج,NA,IYD,NA,NA,NA,NA,NA,NA,NA,NA,NA,وليد سكاف,35261550716,NA,NA,أحمد الرج,963988406979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,C4140,SY07,NA,SY070302,"c(36.45218, 36.1423781)"
13,Idleb,Harim,Salqin,Salqin,36.149049,36.460974,TEMP007,Soq alhal Center,Collective Center  ,Tents,Yes ,4595328-03-13,74,46,265,75,70,65,55,Rami Al-Shami,37066143849,Relief office in Salqin,NA,1,NA,1,1,1,1,1,1,1,1,1,0.25,NA,Turkish Red Crescent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,حسين محمد الحمود,905396144024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,C4140,SY07,NA,SY070302,"c(36.460974, 36.149049)"
14,Idleb,Harim,Salqin,Salqin,36.128411,36.469891,CP002065,Al Ajami  ,Planned Camp  ,Caravans,Yes ,4595328-03-13,170,170,1010,180,190,300,340,Rami Al-Shami,37066143849,Relief office in Salqin,RC Al-Ajami has been merged with Al-Ajami Camp CP002065,1,NA,1,NA,1,1,1,1,1,1,1,0.5,NA,Binaa organization,NA,IYD,NA,NA,NA,NA,NA,NA,NA,NA,NA,مصطفى,352681532296,NA,NA,أحمد الرج,963988406979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,C4140,SY07, العجمي,SY070303,"c(36.469891, 36.128411)"
15,Idleb,Harim,Salqin,Azmarin,36.135249,36.441854,TEMP009,Almalab,Reception Center  ,Tents,Yes ,4595328-03-13,100,118,635,175,160,165,135,Rami Al-Shami,37066143849,Relief office in Salqin,"100%
 The current number of families is greater
  than the capacity of the center",1,NA,1,1,1,1,1,1,1,1,1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,C4143,SY07,NA,SY070302,"c(36.441854, 36.135249)"
16,Idleb,Harim,Salqin,Tellemar,36.053167,36.435694,TEMP010,Ain tibaa,Reception Center  ,Tents,Yes ,4595328-03-13,84,86,500,135,130,120,115,Rami Al-Shami,37066143849,Relief office in Salqin,NA,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,C4148,SY07,NA,SY070305,"c(36.435694, 36.053167)"
17,Idleb,Harim,Dana,Bab El Hawa  - ,36.246804,36.711586,TEMP011,RC Seema organization,Reception Center  ,Tents,Yes ,4595328-03-13,40,60,225,55,50,60,60,Hasan khalid,NA,Seema organization,"The current number of families is greater
  than the capacity of the center",NA,NA,NA,NA,1,1,NA,NA,NA,1,1,0.5,Seema organization,Seema organization,Seema organization,Syria Relief,Breezes of mercy,NA,Child care association,Seema,Seema organization,NA,NA,مصعب,NA,سيما,NA,سيما,NA,سيريا ريلف,NA,NA,NA,NA,NA,Suleiman Fares,NA,سيما,(+30 693 890 3739),جمعيه نسائم الايمان,NA,NA,NA,NA,NA,open,NA,SY07,NA,SY070301,"c(36.711586, 36.246804)"
18,Idleb,Idleb,Ma'arrat Tamasrin,Kelly,36.117652,36.659549,CP001411,Dar Aliman,Planned Camp  ,Tents,Yes ,4595328-03-13,19,25,141,42,37,32,30,Abu omar,905366000000,Relief Directorate,"25%
 The current number of families is greater
  than the capacity of the center",0.25,NA,NA,NA,NA,1,1,1,0.5,1,0.5,0.875,NA,NA,Ehsan Organization,Ehsan Organization,Ehsan Organization,NA,NA,NA,Ehsan Organization,NA,Affaq,ابو احمد,963949193533,NA,NA,عثمان ابو زيد,352681126743,سهيل,3526811972,عثمان ابو زيد,352681126743,NA,NA,NA,NA,NA,NA,عثمان ابو زيد,352681126743,NA,NA,نهاد رحال,352681586778,open,C3949,SY07,NA,SY070005,"c(36.659549, 36.117652)"
19,Idleb,Harim,Salqin,Salqin,36.10407,36.433269,TEMP012,Abu Talhah - Al nour,Collective Center  ,Tents,Yes ,4595328-03-13,170,170,850,240,225,200,185,Rami Al-Shami,37066143849,Relief office in Salqin,"The current number of families is greater
  than the capacity of the center",1,NA,NA,NA,1,1,1,1,1,NA,1,0.5,NA,Ehsan Organization,Ehsan Organization,Ehsan Organization,NA,NA,NA,NA,NA,Ehsan Organization,NA,NA,NA,محمد الشيخ,905386470554,محمد الشيخ,905386470554,محمد الشيخ,905386470554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,محمد الشيخ,905386470554,NA,NA,open,C4140,SY07,,SY070302,"c(36.433269, 36.10407)"
20,Idleb,Harim,Salqin,Azmarin,36.059454,36.400558,TEMP013,Karm A lZaytoon,Collective Center  ,Tents,Yes ,4595328-03-13,300,259,1455,388,350,377,340,Rami Al-Shami,37066143849,Relief office in Salqin,The location is not named,1,NA,1,1,1,1,1,1,1,1,1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,C4143,SY07,NA,SY070302,"c(36.400558, 36.059454)"
21,Idleb,Harim,Harim,Harim,36.52244,36.214874,TEMP015,Al malaab RC,Collective Center  ,Tents,Yes ,4595328-03-13,146,146,790,160,150,250,230,Rami Al-Shami,37066143849,Relief office in Salqin,The Al-Malahi camp and the Dar Al-Wahi (Harem) camp were merged into the Al-Malaab camp,1,NA,1,NA,1,1,1,1,1,1,1,0.5,NA,Abu turki Team,NA,IYD,NA,NA,NA,NA,NA,NA,NA,NA,NA,عدنان,352681589637,NA,NA,أحمد الرج,963988406979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,C4115,SY07,NA,NA,"c(NA, NA)"
22,Idleb,Harim,Harim,Harim,36.227088,36.56027,TEMP016,Ommahat almominin RC,Collective Center  ,Tents,Yes ,4595328-03-13,38,38,185,40,35,65,45,Rami Al-Shami,37066143850,Relief office in Salqin,NA,1,NA,1,NA,1,1,1,1,1,1,1,0.5,NA,Abu turki Team,NA,IYD,NA,NA,NA,NA,NA,NA,NA,NA,NA,عدنان,352681589637,NA,NA,أحمد الرج,963988406979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,C4115,SY07,NA,SY070300,"c(36.56027, 36.227088)"
23,Idleb,Idleb,Idleb,Idleb,35.938213,36.61739,TEMP017,Shoaib,Reception Center  ,Tents,Yes ,4595328-03-13,100,63,245,71,48,63,63,Abu Alaa,79607106936,Relief Directorate,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,0.75,NA,Waietasamuu Association,Ihsan Organization,Ihsan Organization,Abu turki Team,NA,NA,NA,NA,NA,NA,NA,NA,أبو عهد,963947676320,أبو النور,963992844678,أبو النور,963992844678,زياد أبو عبد الكريم,352681524096,NA,NA,NA,NA,NA,NA,زياد أبو عبد الكريم,352681524096,NA,NA,NA,NA,open,C3871,SY07,NA,SY070000,"c(36.61739, 35.938213)"
24,Idleb,Idleb,Idleb,Idleb,35.909183,36.623182,TEMP018,Shark Center,Reception Center  ,Cement construction,Yes ,4595328-03-13,35,30,155,60,40,30,25,Abu Alaa,79607106938,Relief Directorate,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,0.75,NA,NA,Ihsan Organization,BINAA Foundation,Abu turki Team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,أبو النور,963992844678,NA,NA,زياد أبو عبد الكريم,352681524096,NA,NA,NA,NA,NA,NA,زياد أبو عبد الكريم,352681524096,NA,NA,NA,NA,open,C3871,SY07,NA,SY070000,"c(36.623182, 35.909183)"
25,Idleb,Idleb,Idleb,Idleb,35.93919,36.598563,TEMP019,Al qasir,Reception Center  ,Cement construction,Yes ,4595328-03-13,35,17,77,25,20,17,15,Abu Alaa,79607106939,Relief Directorate,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,0.75,NA,NA,Ihsan Organization,BINAA Foundation,Abu turki Team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,أبو النور,963992844678,NA,NA,زياد أبو عبد الكريم,352681524096,NA,NA,NA,NA,NA,NA,زياد أبو عبد الكريم,352681524096,NA,NA,NA,NA,open,C3871,SY07,NA,SY070000,"c(36.598563, 35.93919)"
26,Idleb,Harim,Dana,Termanin,36.231875,36.814575,TEMP020,   markaz 'iiwa' Termanin,Reception Center  ,Tents,Yes ,4595328-03-13,173,175,1000,325,320,180,175,Abu Abdullah,NA,NA,The location is not named,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,SARD,"SARD , MUZUN",Shafak organization,Sakan,NA,Syria Relief,Ehsan Organization,NA,NA,IDD,ابو عبد الله,963946891174,عبدالستار,963999324256,عبدالستار,963999324256,شفق,352681521688,مصطفى حلاق منظمه سكن,352681588438,NA,NA,عبد الكريم دبيس,905396672849,عثمان منصور,352681000000,NA,NA,NA,NA,باسل العنان,352681121830,open,C4125,SY07,مركز إيواء ترمانين  ,SY070301,"c(36.814575, 36.231875)"
27,Idleb,Harim,Dana,Burdaqly,36.213906,36.735004000000004,TEMP021,Bardakli School RC,Reception Center  ,Tents,Yes ,4595328-03-13,80,78,383,116,110,80,77,Mohammed Afara,NA,Dana Development Directorate,NA,NA,NA,NA,NA,NA,1,0.2,1,NA,1,NA,1,Development Directorate,Fraternity Association,Syria Relief,Shafak organization,Kuwait Association,NA,IRC,NA,NA,NA,"Awsome Organization, Doctors Without Borders Organization",#ERROR!,ابو جعفر,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,C6693,SY07,NA,SY070301,"c(36.735004, 36.213906)"
28,Aleppo,Afrin,Jandairis,Jandairis,36.4056812,36.7044837,TEMP022,MHD's reception center,Reception Center  ,Tents,Yes ,4595328-03-13,100,100,610,210,190,110,100,عبدو حمدو,+90 531 459 46 23,NA,There is no information about the services inside the camp because the distribution took place without coordination with the local council.,NA,0,0,0.2,0,NA,0,0.2,1,1,0.2,0.9,NA,MHD,MHD,Yardem,Shafak organization,NA,تكافل الشام,إحسان,NA,NA,بهار,NA,NA,خلاوي حسن 5313571732,MHD,خلاوي حسن 5313571732,MHD,945933 130,NA,506 274 60 41,NA,NA,NA,+90 531 914 90 63,NA,534 431 66 24,NA,NA,NA,NA,NA,NA,531 914 90 63,open,C1426,SY02,,SY020302,"c(36.7044837, 36.4056812)"
29,Aleppo,Afrin,Jandairis,Jandairis,36.4056812,36.7044837,TEMP023,MHD's reception center,Reception Center  ,Tents,Yes ,4595328-03-13,100,100,610,210,190,110,100,NA,NA,NA,There is no information about the services inside the camp because the distribution took place without coordination with the local council.,NA,0,0,0,1,NA,0,0.04,NA,NA,0.3,0.675,NA,MHD,MHD,bhar,Shafak organization,NA,بهار,srd,NA,NA,ida,NA,NA,خلاوي حسن 5313571732,MHD,خلاوي حسن 5313571732,MHD,945933 131,NA,506 274 60 41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,950 542 206,open,C1426,SY02,,SY020302,"c(36.7044837, 36.4056812)"
30,Aleppo,Afrin,Afrin,Sharan (Sharan) - ,36.596485,36.962633,TEMP024,MHD's reception center,Reception Center  ,Tents,Yes ,4595328-03-13,100,100,768,278,272,153,65,NA,NA,NA,There is no information about the services inside the camp because the distribution took place without coordination with the local council.,NA,0,0,0,0,NA,0,0,NA,NA,0,1,NA,MHD,MHD,bhar,goal,NA,goal,sema,NA,NA,al amen,NA,NA,خلاوي حسن 5313571732,MHD,خلاوي حسن 5313571732,MHD,0 947 158 733,NA,957 294 208,NA,507 010 36 88,NA,957 294 208,NA,NA,NA,NA,NA,NA,NA,NA,951 542 206,open,NA,SY02,,SY020304,"c(36.962633, 36.596485)"
31,Aleppo,Afrin,Afrin,Sharan (Sharan) - ,36.596485,36.962633,TEMP025,MHD's reception center,Reception Center  ,Tents,Yes ,4595328-03-13,50,50,240,91,55,57,37,NA,NA,NA,There is no information about the services inside the camp because the distribution took place without coordination with the local council.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,MHD,MHD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,خلاوي حسن 5313571732,MHD,خلاوي حسن 5313571732,MHD,1 947 158 733,NA,958 294 208,NA,508 010 36 88,NA,958 294 208,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,SY02,,SY020304,"c(36.962633, 36.596485)"
32,Aleppo,Jebel Saman ,Dara Azaa,Daret Azza ,36.279525,36.861977,TEMP026,Industry shelter center,Hospital,Tents,Yes ,4595328-03-13,500,256,1280,375,350,305,250,Muhammad Ash,+212 601-563174,NA,NA,NA,NA,NA,NA,1,1,0.6,NA,1,50%%,NA,0.75,NA,MHD .Khairaat .ATAA. White Hands Organization,MHD .Mercy Organization. iyd .ATAA.White Hands Organization,Shafak organization,NA,NA,IRC,Bonian,NA,The White Helmets,Doctors Without Borders .SRD .OUSSM,NA,NA,NA,+963 965 328 359,NA,NA,NA,+90 536 037 45 96,NA,NA,NA,NA,NA,NA,963993691003,احمد راضي,NA,NA,NA,NA,وليد شعبان,352681506149,open,NA,SY02,NA,SY020004,"c(36.861977, 36.279525)"
33, Aleppo,  Azaz,Azaz,Azaz,36.599834,37.06373,TEMP028,private land,Reception Center  ,Tents,Yes ,4595328-03-13,400,350,1750,480,420,445,405,Abdullah Omar,NA,Local Council,HK is distributed by Ihsan Organization,NA,0.05,NA,NA,1,1,1,1,1,1,1,0.4875,Local Council,Local Council,MHD,سيريايردم,Shafak organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,5313571732,خلاوي حسن,MHD,صدر الدين خالد السرماني,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,C1564,NA,NA,SY020400,"c(37.06373, 36.599834)"
34,Aleppo,Jebel Saman ,Atareb,Maaret Atarib ,36.819067,36.157008,TEMP029,Alyman camp,Reception Center  ,Tents,Yes ,4595328-03-13,115,115,650,175,150,175,150,Muhammad Ibrahim,NA,Local Council,30 tents were built by the Development Directorate,NA,NA,1,1,0.6,1,0.5,1,0.4,0.5,1,0.35,NA,MHD,MHD. White Hands Organization,ATAA,NA,NA,AKTED,NA,NA,NA,NA,NA,NA,NA,MHD,NA,MHD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,SY02,NA,NA,"c(NA, NA)"
35,Aleppo,Jarablus,Jarablus,Sreisat,36.71317,38.008415,CP002154,"Camp ATAA Third Residence, CP002154",Planned Camp  ,Cement construction,No ,4595328-03-13,475,250,1275,375,360,290,250,Moayad Al-Ashraf,5387139286,ATAA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,0.75,ATAA,ATAA,Shafak,Care,NA,NA,NA,NA,NA,ATAA,ALROOAD,5387139286,مؤيد الاشرف عطاء,5387139286,مؤيد الاشرف عطاء,5354243729,سعد محمد شفق,5365690208,فادي العلي. كير,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,مصطفى سعيد,5551090582,open,C2230,SY02, 002154,SY020800,"c(38.008415, 36.71317)"
36,Aleppo,Jebel Saman ,Atareb,Babka,36.750077,36.15808,CP002248,Al nour Village CP002248,Reception Center  ,Tents,No ,4595328-03-13,160,100,600,205,178,115,102,Amir Muhammad Jarad,45 J79 56 85 57,Development Directorate,63 tents were built by the Directorate of Development,NA,NA,0.25,0.25,0.5,1,1,NA,0.5,1,0.5,0.6875,NA,White Hands Organization,White Hands Organization + Shafak,Shafak,Ehsan Organization,NA,NA,MARAM,Humanity Link Association,NA,OUSSM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,C1021,SY02,002248,NA,"c(NA, NA)"
37,Aleppo,  Azaz,Azaz,Azaz,36.586028,37.056116,CP000364,RC Azaz CP000364,Reception Center  ,Tents,No ,4595328-03-13,260,260,1312,285,343,292,392,Abdo Hamdoush,NA,Local Council,HK is distributed by Ihsan Organization,NA,NA,NA,NA,NA,1,1,1,NA,1,1,0.75,Local Council,Local Council,IDA,Local Council,Turkish Religious Endowment,NA,NA,NA,Turkish Religious Endowment,NA,NA,NA,NA,محمود زعموط,NA,NA,NA,حازم,NA,NA,NA,NA,NA,NA,NA,NA,NA,صلاح الهادي,NA,NA,NA,NA,NA,open,C1564,SY02,000364,SY020400,"c(37.056116, 36.586028)"
38,Aleppo,Jebel Saman ,Atareb,Babka,36.156655,36.7544,TEMP031,Diniz Al haramin,Reception Center  ,Tents,Yes ,4595328-03-13,50,50,250,75,50,75,50,Ibrahim Al-Atrash,84332867050,NA,"The site is part of Deniz Al-Haramain camp. A camp registration questionnaire was uploaded,
but it was not included in the camp registration list.
Ihsan provided the beneficiaries with: a heater - a battery - a solar panel - blankets.",NA,NA,NA,0.25,1,1,1,1,1,1,1,0.4375,NA,Ehsan Organization,Ehsan Organization,Ehsan Organization,Ehsan Organization - Rahma Organization,NA,NA,NA,NA,NA,OUSSM. SRD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,C1021,SY02,NA,SY020001,"c(36.7544, 36.156655)"
39,Aleppo,  Azaz,Aghtrin,Qabtan,36.527699,37.365418,TEMP032,Kobtan RC,Reception Center  ,Tents,Yes ,4595328-03-13,100,80,505,190,145,100,70,Azzam Muhammad Adeeb lover,NA,MHD,"The site is new and belongs to the local council in Akhtarin, and it is built in the yard of an old school",NA,NA,NA,NA,1,1,1,1,1,1,0,0.75,Local Council,MHD,MHD,Solidarity,NA,NA,NA,NA,NA,NA,SRD,NA,NA,NA,NA,خلاوي,NA,محمد الخطيب,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,احمد الضاهر+90 539 290 29 94,open,C1611,SY02,NA,SY020401,"c(37.365418, 36.527699)"
